,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
54,"Plaza de Ramales,",01,011,11,13,1440,2,36 - Plaza Ramales,0,36,0,24,2024-02-12 18:13:43,-3.71183,40.4168,"(-3.71183, 40.4168)"
55,"Plaza de San Francisco nº 5,",01,011,17,7,1441,1,37 - Plaza de San Francisco,0,37,0,24,2024-02-12 18:13:43,-3.714113,40.4108,"(-3.714113, 40.4108)"
56,"Carrera de San Francisco nº 1,",01,011,9,18,1442,2,38 - Plaza de los Carros,0,38,0,27,2024-02-12 18:13:43,-3.7115898,40.4113586,"(-3.7115898, 40.4113586)"
57,"Plaza de la Cebada nº 16 ,",01,011,15,16,1443,2,39 - Plaza de la Cebada,0,39,0,31,2024-02-12 18:13:43,-3.7088337,40.4112744,"(-3.7088337, 40.4112744)"
58,"Plaza del Conde de Romanones nº 9,",01,012,11,7,1444,2,40 - Conde de Romanones,0,40,0,18,2024-02-12 18:13:43,-3.7047949666162405,40.413778406369765,"(-3.7047949666162405, 40.413778406369765)"
59,"Calle Atocha nº 54,",01,012,7,12,1445,2,41 - Antón Martín,0,41,0,19,2024-02-12 18:13:43,-3.6991147,40.4122047,"(-3.6991147, 40.4122047)"
60,"Calle Santa Isabel 32,",01,012,10,17,1446,2,42 - Santa Isabel,0,42,0,27,2024-02-12 18:13:43,-3.6982922,40.4108488,"(-3.6982922, 40.4108488)"
61,"Calle Lavapiés nº 34,",01,012,11,7,1447,2,43 - Jesús y María,0,43,0,18,2024-02-12 18:13:43,-3.702471,40.4100387,"(-3.702471, 40.4100387)"
62,"Calle Mesón de Paredes nº 35,",01,012,3,16,1448,0,44 - Plaza de Nelson Mandela,0,44,0,19,2024-02-12 18:13:43,-3.7038640533106593,40.40979071254635,"(-3.7038640533106593, 40.40979071254635)"
63,"Glorieta de la Puerta de Toledo nº 1,",01,012,11,8,1449,2,45 - Puerta de Toledo,0,45,0,19,2024-02-12 18:13:43,-3.7111034,40.4068659,"(-3.7111034, 40.4068659)"
64,"Calle Ribera de Curtidores nº 28,",02,022,18,9,1450,2,46 - Ribera de Curtidores,0,46,0,27,2024-02-12 18:13:43,-3.7071259,40.4053153,"(-3.7071259, 40.4053153)"
65,"Glorieta de Embajadores nº 6,",02,022,10,14,1451,2,47 - Embajadores 1,0,47,0,24,2024-02-12 18:13:43,-3.7027998,40.4045772,"(-3.7027998, 40.4045772)"
66,"Glorieta de Embajadores nº 2,",01,012,15,9,1452,2,48 - Embajadores 2,0,48,0,24,2024-02-12 18:13:43,-3.7020566,40.4054815,"(-3.7020566, 40.4054815)"
67,"Ronda de Atocha nº 34,",01,012,21,5,1453,1,49 - Casa Encendida,0,49,0,27,2024-02-12 18:13:43,-3.6992774,40.4060533,"(-3.6992774, 40.4060533)"
68,"Calle Santa Isabel nº 57,",01,012,19,5,1454,1,50 - Museo Reina Sofía,0,50,0,24,2024-02-12 18:13:43,-3.6933463,40.4083684,"(-3.6933463, 40.4083684)"
69,"Ronda de Atocha nº 2,",01,012,21,6,1455,1,51 - Ronda de Atocha,0,51,0,27,2024-02-12 18:13:43,-3.6935205,40.4075606,"(-3.6935205, 40.4075606)"
70,"Plaza de Santa Ana nº 10,",01,013,3,11,1456,0,52 - Plaza de Santa Ana,0,52,0,15,2024-02-12 18:13:43,-3.7007164,40.4144226,"(-3.7007164, 40.4144226)"
71,"Calle Valencia nº 1,",01,012,24,0,1457,1,53 - Plaza de Lavapiés,0,53,0,24,2024-02-12 18:13:43,-3.700754126389314,40.40830870823806,"(-3.700754126389314, 40.40830870823806)"
72,"Calle Barceló nº 7,",01,014,10,9,1458,2,54 - Barceló,0,54,0,19,2024-02-12 18:13:43,-3.700392997553259,40.426599101766264,"(-3.700392997553259, 40.426599101766264)"
73,"Plaza de San Ildefonso,",01,015,10,14,1459,2,55 - Plaza de San Ildefonso,0,55,0,24,2024-02-12 18:13:43,-3.7020842,40.4239757,"(-3.7020842, 40.4239757)"
74,"Plaza del Carmen nº 1,",01,016,11,12,1460,2,56 - Plaza del Carmen ,0,56,0,23,2024-02-12 18:13:43,-3.7032414,40.4184192,"(-3.7032414, 40.4184192)"
75,"Calle Santa Cruz del Marcenado nº 24,",01,015,9,14,1461,2,57 - Santa Cruz del Marcenado,0,57,0,23,2024-02-12 18:13:43,-3.7126299,40.4295658,"(-3.7126299, 40.4295658)"
