,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
235,8,15,2269,2,0,0,2024-02-21 00:48:56
236,6,18,2270,0,0,0,2024-02-21 00:48:56
237,16,8,2271,2,0,0,2024-02-21 00:48:56
238,12,12,2272,2,0,0,2024-02-21 00:48:56
239,2,22,2273,0,0,0,2024-02-21 00:48:56
240,9,14,2274,2,0,0,2024-02-21 00:48:56
241,24,3,2275,1,0,0,2024-02-21 00:48:56
242,12,15,2276,2,0,0,2024-02-21 00:48:56
243,10,14,2278,2,0,0,2024-02-21 00:48:56
244,9,15,2279,2,0,0,2024-02-21 00:48:56
245,12,12,2280,2,0,0,2024-02-21 00:48:56
246,3,20,2281,0,0,0,2024-02-21 00:48:56
247,19,5,2282,1,0,0,2024-02-21 00:48:56
248,18,9,2283,2,0,0,2024-02-21 00:48:56
249,20,3,2285,1,0,0,2024-02-21 00:48:56
250,4,19,2286,0,0,0,2024-02-21 00:48:56
251,13,10,2287,2,0,0,2024-02-21 00:48:56
252,18,5,2288,1,0,0,2024-02-21 00:48:56
253,7,16,2289,0,0,0,2024-02-21 00:48:56
254,14,10,2290,2,0,0,2024-02-21 00:48:56
255,2,21,2291,0,0,0,2024-02-21 00:48:56
256,7,16,2292,0,0,0,2024-02-21 00:48:56
257,1,26,2293,0,0,0,2024-02-21 00:48:56
258,12,12,2294,2,0,0,2024-02-21 00:48:56
259,10,9,2297,2,0,0,2024-02-21 00:48:56
260,6,17,2298,0,0,0,2024-02-21 00:48:56
261,21,2,2299,1,0,0,2024-02-21 00:48:56
262,5,18,2300,0,0,0,2024-02-21 00:48:56
263,11,16,2301,2,0,0,2024-02-21 00:48:56
264,15,12,2302,2,0,0,2024-02-21 00:48:56
265,4,19,2303,0,0,0,2024-02-21 00:48:56
266,4,11,2304,0,0,0,2024-02-21 00:48:56
267,22,1,2305,1,0,0,2024-02-21 00:48:56
268,4,19,2306,0,0,0,2024-02-21 00:48:56
269,0,23,2307,0,0,0,2024-02-21 00:48:56
270,22,1,2308,1,0,0,2024-02-21 00:48:56
271,18,5,2309,1,0,0,2024-02-21 00:48:56
272,11,13,2311,2,0,0,2024-02-21 00:48:56
273,2,22,2312,0,0,0,2024-02-21 00:48:56
274,15,12,2313,2,0,0,2024-02-21 00:48:56
275,4,20,2314,0,0,0,2024-02-21 00:48:56
276,18,6,2315,1,0,0,2024-02-21 00:48:56
277,4,20,2316,0,0,0,2024-02-21 00:48:56
278,7,20,2317,0,0,0,2024-02-21 00:48:56
279,8,19,2318,0,0,0,2024-02-21 00:48:56
280,14,9,2319,2,0,0,2024-02-21 00:48:56
281,4,23,2320,0,0,0,2024-02-21 00:48:56
282,4,19,2321,0,0,0,2024-02-21 00:48:56
283,9,14,2322,2,0,0,2024-02-21 00:48:56
284,12,11,2323,2,0,0,2024-02-21 00:48:56
285,9,15,2324,2,0,0,2024-02-21 00:48:56
286,9,15,2325,2,0,0,2024-02-21 00:48:56
287,4,20,2326,0,0,0,2024-02-21 00:48:56
288,8,15,2327,2,0,0,2024-02-21 00:48:56
289,25,0,2328,1,0,0,2024-02-21 00:48:56
290,16,7,2329,2,0,0,2024-02-21 00:48:56
291,7,12,2330,2,0,0,2024-02-21 00:48:56
292,23,0,2331,1,0,0,2024-02-21 00:48:56
293,16,7,2332,2,0,0,2024-02-21 00:48:56
294,8,15,2333,2,0,0,2024-02-21 00:48:56
295,19,8,2334,1,0,0,2024-02-21 00:48:56
296,23,0,2335,1,0,0,2024-02-21 00:48:56
297,11,13,2337,2,0,0,2024-02-21 00:48:56
298,18,5,2339,1,0,0,2024-02-21 00:48:56
299,8,19,2340,0,0,0,2024-02-21 00:48:56
300,11,16,2341,2,0,0,2024-02-21 00:48:56
301,21,6,2342,1,0,0,2024-02-21 00:48:56
302,8,19,2343,0,0,0,2024-02-21 00:48:56
303,8,15,2347,2,0,0,2024-02-21 00:48:56
304,6,17,2348,0,0,0,2024-02-21 00:48:56
305,13,10,2349,2,0,0,2024-02-21 00:48:56
306,9,14,2350,2,0,0,2024-02-21 00:48:56
307,11,12,2351,2,0,0,2024-02-21 00:48:56
308,5,18,2352,0,0,0,2024-02-21 00:48:56
309,1,26,2359,0,0,0,2024-02-21 00:48:56
310,7,16,2360,0,0,0,2024-02-21 00:48:56
311,12,12,2362,2,0,0,2024-02-21 00:48:56
312,16,7,2365,2,0,0,2024-02-21 00:48:56
313,8,15,2366,2,0,0,2024-02-21 00:48:56
314,26,1,1567,1,0,0,2024-02-21 00:48:56
315,13,10,1568,2,0,0,2024-02-21 00:48:56
316,3,16,1569,0,0,0,2024-02-21 00:48:56
317,24,3,1570,1,0,0,2024-02-21 00:48:56
318,27,16,1571,2,0,0,2024-02-21 00:48:56
