,address,code_district,code_suburb,id,number,total_bases,last_updated,longitude,latitude,coordinates
242,"Calle soto Hidalgo, 3 ,",21,211,2283,563,27,2024-03-15 08:58:01,-3.5820745,40.4606465,"(-3.5820745, 40.4606465)"
243,"Paseo de Reina Cristina, 6 ,",03,031,2285,281,23,2024-03-15 08:58:01,-3.6831862,40.4067247,"(-3.6831862, 40.4067247)"
244,"Ronda de la Comunicación, s/n,",08,086,2286,609,23,2024-03-15 08:58:01,-3.6626887,40.5157202,"(-3.6626887, 40.5157202)"
245,"Calle de Moncada, 102 ,",17,172,2287,408,23,2024-03-15 08:58:01,-3.692444,40.341725,"(-3.692444, 40.341725)"
246,"Calle Eduardo Barreiros, 114,",17,175,2288,409,23,2024-03-15 08:58:01,-3.7046436,40.3553495,"(-3.7046436, 40.3553495)"
247,"Calle Fermín Caballero 2,",08,085,2289,606,23,2024-03-15 08:58:01,-3.698485,40.487363,"(-3.698485, 40.487363)"
248,"Calle Huerta de Catañeda, 26 ,",10,103,2290,349,24,2024-03-15 08:58:01,-3.74201882097404,40.40622095698234,"(-3.74201882097404, 40.40622095698234)"
249,"calle Gregorio Sánchez Herráez 14,",16,166,2291,544,23,2024-03-15 08:58:01,-3.63657,40.477248,"(-3.63657, 40.477248)"
250,"Calle Oña s/n,",16,166,2292,551,23,2024-03-15 08:58:01,-3.6658565,40.4891872,"(-3.6658565, 40.4891872)"
251,"Calle Ana de Austria, 52 ,",16,166,2293,552,27,2024-03-15 08:58:01,-3.6531502,40.4994394,"(-3.6531502, 40.4994394)"
252,"Avenida Fuerzas Armadas (Renfe Valdebebas) ,",21,214,2294,542,24,2024-03-15 08:58:01,-3.6157178,40.4819961,"(-3.6157178, 40.4819961)"
253,"Paseo de la Puerta del Ángel, 10 ,",09,091,2297,320,19,2024-03-15 08:58:01,-3.7345247,40.4167792,"(-3.7345247, 40.4167792)"
254,"Calle Estella, 21,",08,086,2298,608,23,2024-03-15 08:58:01,-3.6743568,40.4968198,"(-3.6743568, 40.4968198)"
255,"Paseo de los Pontones, 26 ,",02,021,2299,278,23,2024-03-15 08:58:01,-3.7196,40.4040433,"(-3.7196, 40.4040433)"
256,"Calle luis de Salazar, 16 ,",05,052,2300,289,23,2024-03-15 08:58:01,-3.6649258,40.4474166,"(-3.6649258, 40.4474166)"
257,"Calle Rafaela Aparicio, 1 ,",16,166,2301,547,27,2024-03-15 08:58:01,-3.6312179,40.4792396,"(-3.6312179, 40.4792396)"
258,"Calle de Berrocal, 9 ,",17,173,2302,402,27,2024-03-15 08:58:01,-3.67615,40.344115,"(-3.67615, 40.344115)"
259,"Calle Tomás Redondo, 9 ,",16,166,2303,543,23,2024-03-15 08:58:01,-3.62913802,40.47178414,"(-3.62913802, 40.47178414)"
260,"Paseo Virgen del Puerto, 27 ,",02,021,2304,277,15,2024-03-15 08:58:01,-3.721178,40.411622,"(-3.721178, 40.411622)"
261,"Avenida Menéndez Pelayo enfrente del nº33 ,",03,035,2306,282,23,2024-03-15 08:58:01,-3.6787796,40.4181327,"(-3.6787796, 40.4181327)"
262,"Calle Mayor , 6,",01,016,2307,1,23,2024-03-15 08:58:01,-3.7054098,40.416465,"(-3.7054098, 40.416465)"
263,"Avenida Gran Vía de San Francisco, 6,",01,011,2308,263,23,2024-03-15 08:58:01,-3.712793282384579,40.40833880815136,"(-3.712793282384579, 40.40833880815136)"
264," Calle Babilonia, 19,",21,215,2309,559,23,2024-03-15 08:58:01,-3.5882347,40.4675299,"(-3.5882347, 40.4675299)"
265,"Camino de Ganapanes, 32-40 ,",08,083,2311,581,24,2024-03-15 08:58:01,-3.7163093,40.4764797,"(-3.7163093, 40.4764797)"
266,"Calle San Modesto, 44,",08,086,2312,598,24,2024-03-15 08:58:01,-3.6923396,40.4858012,"(-3.6923396, 40.4858012)"
267,"Calle Escalona, 2,",10,104,2313,341,27,2024-03-15 08:58:01,-3.76182259,40.39834576,"(-3.76182259, 40.39834576)"
268,"Calle de Tembleque, 31 ,",10,104,2314,346,24,2024-03-15 08:58:01,-3.7664844,40.3907438,"(-3.7664844, 40.3907438)"
269,"Avenida de las Aguilas, 27 ,",10,107,2315,347,24,2024-03-15 08:58:01,-3.768603,40.383554,"(-3.768603, 40.383554)"
270,"Calle Albelda, 6,",15,156,2316,528,24,2024-03-15 08:58:01,-3.6573666,40.4494225,"(-3.6573666, 40.4494225)"
271,"Paseo de la Venta, 1,",09,091,2317,312,27,2024-03-15 08:58:01,-3.7528559,40.4077495,"(-3.7528559, 40.4077495)"
272,"Carretera del zoo s/n (metro Casa de Campo) ,",09,091,2318,321,27,2024-03-15 08:58:01,-3.761051,40.40316,"(-3.761051, 40.40316)"
